answer, option_b, option_d, option_c
A, "Teres major", "Deltoid", "Pectoralis major"
B, "Lower border of T4", "Lower border of T5", "27.5 cm from the incisors"
B, "C6", "T4", "T1"
D, "The sclerotome forms the nucleus pulposus", "The sclerotome surrounds the notochord and the neural tube", "The sclerotome surrounds the notochord only"
D, "Polymastia", "Mastitis", "Polythelia"
A:B, "Hind gut", "Urogeital sinus", "Allantoic remnants"
C, "Incus", "Maxilla", "Stapes"
D, "Retina", "Adrenal cortex", "Spinal cord"
D, "Mullerian duct", "Genital swelling", "Genital ridge"
B, "5 - 7 days", "15 -16 days", "8 - 11 days"
C, "Primary spermatocytes", "None", "Secondary spermatocyte"
B, "Y chromosome", "None", "Both same"
B, "Eustachian tube", "Retina", "Brain"
A, "Lens", "Lymph nodes", "Spleen"
B, "Intraembryonic coelom", "Endoderm", "Ectoderm"
B, "D basal is", "None", "D capularis"
C, "Conus", "AV canal", "Sinus venosus"
C, "Uterus", "Hydatid of margagni", "Appendix of epididymis"
B, "Stapedial artery", "Common carotid artery", "Subclavian artery"
A, "Septum secundum", "Ductus venosus", "Ductus arteriosus"
C, "Submetacentric", "None", "Acrocentric"
D, "Yolk sac", "Trophoblast", "Embryo proper"
C, "2", "4", "3"
D, "Oligodendrocytes", "Microglial cells", "Ependymal cells"
C, "Septum secundum + Endocardial cushion", "None", "Septum primum + Septum secundum"
B, "Trochanter of femur", "Head of femur", "Coracoid process of scapula"
C, "Apocrine", "Paracrine", "Holocrine"
D, "Lymph node", "Prostate", "Spleen"
B, "Pineal", "Breast", "Seminal vesicle"
A, "Away from metaphysis ", "None", "Away from epiphysis"
C, "Iris", "Ductus deferens", "Gut"
A, "Anterior interventricular artery", "Left atrium", "Posterior interventricular artery"
C, "Pyramid", "Major calyx", "Minor calyx"
D, "Hinge", "Saddle", "Ball and Socket"
D, "Anterior circumflex humeral artery", "Circumflex scapular artery", "Posterior circumflex humeral artery"
A, "Deep branch of the radial nerve", "Median nerve", "Superficial branch of ulnar nerve"
A, "Hyaline cartilage covers articular surface of all synovial joints.", ""Cartilage usually divides the joint into two cavities". ", "Metacarpo-phalangeal joint is a hinge joint"
A, "Central lymph nodes", "Pectoral lymph nodes", "Lateral lymph nodes"
