question,option_1,option_2,option_3,option_4,answer,subject,topic
"A patient hailing from Delhi presents with fever| arthralgia| and extensive petechial rash for 3days. Lab investigations revealed a hemoglobin of 9 g/ dL| a white blood cell count of 9000cells/mm3| a platelet count of 20000 cells/mm3| and a prolonged bleeding time. The clottingtime was normal. What is the most likely diagnosis?","Dengue","Malaria","Scrub typhus","Typhoid","1","Microbiology","Virology"
"Which of the following statements is true about Trichomonas vaginalis?","It cannot be cultured","Twitching motility is seen on wet saline mount","Cysts are seen on wet saline mount of vaginal secretions","It is not a sexually transmitted infection","2","Microbiology","Parasitology"
"A lady from West Rajasthan presented with an ulcer surrounded by erythema on the right leg.Microscopy of the biopsy from the edge of the ulcer showed organisms with dark stainingnuclei and kinetoplast. What is the most likely causative agent?","Leishmania tropica","Babesia","Trypanosoma","Histoplasma","1","Microbiology","Parasitology"
"A child presents with a fever and a rash. Urine examination showed cells with owl's eyeappearance. What is the most likely diagnosis?","Cytomegalovirus","Epstein-Barr virus","Herpes simplex virus","Toxoplasma gondii","1","Microbiology","Virology"
"Infection with Clonorchis sinensis is associated with an increased risk of__?","Cervical cancer","Cholangiocarcinoma","Gastric carcinoma","Bladder carcinoma","2","Microbiology","Parasitology"
"A patient presented with complaints of persistent cough and weight loss. He had a history ofcontact with multiple sexual partners. He was diagnosed as HIV positive 6 months back and ispoorly adherent to his medications. The fungal culture of sputum was negative. On Gomorimethamine silver staining| the cells showed darkly stained crescent-shaped cysts. What is themost likely causative organism?","Paracoccidiodes brasiliensis","Histoplasma capsulatum","Coccidiodes immitis","Pneumocystis jerovecii","4","Microbiology","Mycology"
"A sewage worker presented with abdominal pain| jaundice| conjunctival injection| and blood inthe urine for the past 5 days. Which of the following is the investigation of choice?Weil-Felix reaction","Widal test","Microscopic agglutination test","PrepLadder","Paul-Bunnell test","2","Microbiology","Systemic Bacteriology"
"Which of the following laboratory test is used to diagnose rotavirus diarrhea?","Antigen detection in the stool sample","Antigen detection in blood","Antibody detection in serum","Light microscopy of stool specimen","1","Microbiology","Virology"
"A boy presented with a fever and chills. Rapid test was positive for specific antigen HRP-2.Which of the following species of Plasmodium is the most likely causative agent?","Plasmodium falciparum","Plasmodium malariae","Plasmodium vivax","Plasmodium ovale","1","Microbiology","Parasitology"
"A child was brought with complaints of high fever| multiple seizures| headache| and neckrigidity. CSF analysis showed low glucose| high protein| and many polymorphs. The CSFculture showed pleomorphic gram-negative bacilli. What is true about the causative organism?","It is bacitracin sensitive.","Produces non-lactose fermenting colonies on MacConkey agar","Exhibits satellitism around Staphylococcus aureus colonies","It exhibits alpha hemolysis on sheep blood agar","3","Microbiology","Systemic Bacteriology"
"A man presents with a history of dysuria and urethral discharge after having unprotectedsexual intercourse. Gram-staining of the purulent discharge is seen in the following image.What is the treatment of choice for this infection?","Erythromycin","Azithromycin","Ceftriaxone","Penicillin G","3","Microbiology","Systemic Bacteriology"
"A 2-month-old infant is brought to the OPD with a parietal swelling present since birth. TheX-ray image is given below. What could be the probable diagnosis?","Subgaleal hematoma","Cephalhematoma","Caput succedaneum","Enecephalocele","2","Radiology","Head & Neck Imaging"
"A patient presented with abdominal pain and sterile pyuria| and the x-ray showed the followingfeatures. What is the likely diagnosis?","Putty kidney","Nephrocalcinosis","Staghorn calculus","Psoas calcification","1","Radiology","Genitourinary Radiology"
"A defect in which of the following forms the structure marked below?","Internal oblique","External oblique","Parietal peritoneum","Fascia transversalis","4","Anatomy","Pelvis and Perineum"
"A student had his jaw locked while yawning. Which of the following muscles is attached to thearticular disc of the temporomandibular joint?","Lateral pterygoid","Temporalis","Medial pterygoid","Masseter","1","Anatomy","Head and Neck"
"The given histology image is of ?","Leydig cells of testis","Pancreatic islet cells","Hassall's corpuscles","Glomerulus","4","Anatomy","Histology"
"A defect in which of the following aortic arches causes the defect shown in the image?","4th right","4th left","6th right","6th left","4","Anatomy","Thorax"
"Which of the following structures develops from the structure marked 4?","Medial umbilical ligament","Median umbilical ligament","Meckel's diverticulum","Ligamentum teres","2","Anatomy","General Embryology"
"A patient comes with abdominal pain| jaundice| and portal hypertension. Anastomosisbetween which of the following veins is seen?","Left colic vein and middle colic veins","Esophageal veins and left gastric veins","Superior rectal and phrenic veins","Sigmoid and superior rectal veins","2","Anatomy","Abdomen"
"Which of the following clotting factors is needed for gamma-glutamyl carboxylase?","Factors II| VIII| IX| X","Factors II| VII| IX| and X","Factors II| VII| IX| XI","Factors II| VIII| X| XI","2","Biochemistry","Vitamins"
"A patient presented with diarrhea| dermatitis| and dementia. Which of the following vitamindeficiencies would you suspect in this patient?","Vitamin B3 deficiency","Vitamin B1 deficiency","Vitamin B6 deficiency","Vitamin B12 deficiency","1","Biochemistry","Vitamins"
"A young boy presents to the OPD with hypoglycemia and muscle cramps| on exertion or whileplaying. Then he becomes normal after resting for a while. These episodes are recurrent aftera period of activity. He has decreased serum lactate and glucose levels. Which of the followingdiseases is he most likely to be suffering from?","McArdle disease","Hers disease","Cori's disease","Andersen disease","1","Biochemistry","Carbohydrate Metabolism"
"A family consumes only polished rice. Which of the following combinations of vitamindeficiency and enzymatic defect will be present in this family?","Riboflavin-glutathione reductase","Thiamine-transketolase","Thiamine-transaminase","Riboflavin-transketolase","2","Biochemistry","Vitamins"
"A chronic alcoholic patient presented to the casualty with confusion| ataxia| and painful eyemovements. What could be the vitamin deficiency seen in this patient?","Vitamin B deficiency","Vitamin A deficiency","Vitamin D deficiency","Vitamin C deficiency","1","Biochemistry","Vitamins"
"A 4-year-old child presents with easy fatigability. The mother also complains that the child hasincreased hunger between meals| which is relieved after food. Liver examination revealed noglycogen. The enzyme most likely deficient is?Glycogen phosphorylase","PrepLadder","Glycogen synthase","Debranching enzyme","Glucose 6 phosphatase","2","Biochemistry","Carbohydrate Metabolism"
"A child was bought with pedal edema and cheilosis. Cardiomegaly was present. What is thevitamin deficiency associated with this clinical presentation?","Riboflavin","Thiamine","Pyridoxine","Niacin","2","Biochemistry","Vitamins"
"A chronic alcoholic patient is diagnosed with gouty arthritis. What biochemical changes will beseen in this patient?","Decreased NADH/NAD+ ratio","Increased urea and urate levels","Increased urate and lactate levels","Increased level of alkaline phosphatase","3","Biochemistry","Vitamins"
"A child presents with erythematous scaly patches in the perioral region| mucosal ulcers| andimpaired epithelial wound healing. The most likely mineral deficiency associated with thiscondition is?","Iron deficiency","Zinc deficiency","Calcium deficiency","Copper deficiency","2","Biochemistry","Enzymes"
"A patient presenting with bleeding gums and easy bruisability was diagnosed with scurvy. Thisis due to","Low calcium","Defective collagen formation","Inhibition of clotting factors","Increased keratinization of epithelium","2","Biochemistry","Vitamins"
"Which of the following is seen in low insulin: glucagon ratio?Activation of phosphofructokinase 1","Activation of lipoprotein lipase","Activation of glycogen synthase","PrepLadder","Activation of hormone-sensitive lipase","4","Biochemistry","Introduction"
"An infant is brought by his parents with complaints that his urine turns black on standing.Which of the following metabolic disorders is likely?","Phenylketonuria","Alkaptonuria","Homocystinuria","Maple syrup urine disease","2","Biochemistry","Amino Acids and Proteins Chemistry"
"A child presents with thinning of hair and scaling of the scalp. On taking further history| it isfound that she consumes raw eggs in her diet regularly. The given manifestations are due tothe deficiency of which of the following vitamins?","Niacin","Pyridoxine","Biotin","Thiamine","3","Biochemistry","Vitamins"
"A child presents with mental retardation| bone pain| and inability to walk. On funduscopicexamination| a cherry red spot is seen. There is no organomegaly. What is the most likelydiagnosis?","Tay-Sachs disease","Niemann-Pick disease","Hurler syndrome","Gaucher disease","1","Biochemistry","Lipid Metabolism"
"A female presents with loss of vision in the right halves of both eyes. Where is the lesionlocated in the optic pathway?","Left optic tract","Optic radiation","Optic chiasma","Right optic tract","1","Ophthalmology","Neuro Ophthalmology"
